RhodeIsland11,0.439140841,0.153258665,0.046331761,0.012863551,0.004473236,0.001366309,0.382,0.095,0.011,0.002,0.001,0
Oregon3,0.922453145,0.612530911,0.21081951,0.065982422,0.02951077,0.011540626,0.929,0.737,0.31,0.105,0.03,0.012
Iona14,0.077546855,0.014844209,0.001650843,0.000180559,2.73253E-05,3.73514E-06,0.04,0.01,0.002,0.001,0,0
Michigan7,0.63343539,0.229701754,0.136026186,0.050064359,0.021324031,0.007944688,0.744,0.227,0.129,0.042,0.015,0.009
OklahomaState10,0.36656461,0.0999637,0.05710123,0.020032277,0.008217015,0.002949716,0.221,0.03,0.011,0.003,0.001,0
Louisville2,0.973818119,0.668185522,0.465179387,0.21609735,0.110822048,0.049736748,0.957,0.713,0.489,0.184,0.054,0.021
JacksonvilleState15,0.026181881,0.002149023,0.000258836,1.69081E-05,1.54046E-06,1.2846E-07,0.016,0.004,0.002,0.001,0,0
NorthCarolina1,0.979275339,0.798724713,0.57984198,0.298548916,0.15479223,0.069972958,0.966,0.935,0.851,0.443,0.271,0.152
TexasSouthern16,0.020724661,0.002532644,0.00034502,2.51184E-05,2.3448E-06,2.02034E-07,0.01,0.004,0.002,0.001,0.001,0
Arkansas8,0.505738239,0.10119193,0.053221267,0.017318661,0.005918176,0.00177456,0.433,0.018,0.009,0.002,0.001,0.001
SetonHall9,0.494261761,0.097550713,0.045016708,0.01243802,0.003803673,0.001025091,0.527,0.019,0.008,0.002,0.001,0
Minnesota5,0.519562241,0.184583117,0.042529634,0.010122565,0.002831157,0.000700461,0.56,0.181,0.017,0.005,0.002,0.001
MiddleTennessee12,0.480437759,0.1644115,0.043759258,0.011922665,0.003240089,0.000779885,0.402,0.133,0.008,0.002,0.001,0
Butler4,0.890205906,0.620125611,0.231390822,0.086281939,0.03298444,0.011023811,0.904,0.642,0.086,0.025,0.01,0.003
Winthrop13,0.109794094,0.030879773,0.003895311,0.000522191,7.8059E-05,1.06021E-05,0.061,0.015,0.002,0.001,0,0
Cincinnati6,0.627992313,0.258161872,0.101708915,0.053018997,0.02391696,0.00940152,0.774,0.114,0.025,0.006,0.002,0.001
KansasStWakeForest11,0.372007687,0.119766597,0.0356526,0.015184768,0.005828036,0.001959571,0.183,0.015,0.003,0.001,0,0
UCLA3,0.941723643,0.614538888,0.208319787,0.09754896,0.052713171,0.024859543,0.945,0.836,0.477,0.263,0.161,0.084
KentState14,0.058276357,0.007532643,0.000634853,9.59676E-05,1.2897E-05,1.58109E-06,0.025,0.008,0.002,0.001,0,0
Dayton7,0.307641691,0.070096544,0.028488469,0.01081393,0.003539775,0.00101835,0.278,0.024,0.006,0.002,0.001,0
WichitaState10,0.692358309,0.244216763,0.149894119,0.083845937,0.043748014,0.019903768,0.685,0.102,0.029,0.01,0.004,0.002
Kentucky2,0.966806379,0.681923407,0.474828915,0.302249843,0.168237626,0.081807351,0.964,0.846,0.438,0.224,0.132,0.067
NorthernKentucky15,0.033193621,0.003763286,0.000472341,6.15234E-05,6.85196E-06,7.00612E-07,0.011,0.004,0.002,0.001,0,0
